Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,TOP
Victor Oladipo,5.9,13.5,0.438,1.4,3.9,0.348,4.5,9.6,0.475,0.489,2.8,3.4,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16,1
Kelly Olynyk,3.7,8.1,0.455,1.2,3,0.405,2.4,5,0.486,0.531,1.4,1.9,0.75,1,3,4.1,1.5,0.8,0.5,1.1,2.4,10,1
Kelly Oubre,1.4,3.3,0.427,0.4,1.3,0.316,1,2.1,0.492,0.486,0.5,0.8,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7,0
Zaza Pachulia,2.9,6.2,0.466,0,0,0,2.9,6.1,0.469,0.466,2.8,3.6,0.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,1
Kostas Papanikolaou,0.9,2.5,0.364,0.4,1.2,0.313,0.5,1.3,0.412,0.439,0.3,0.5,0.643,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,2.6,0
Jabari Parker,5.8,11.8,0.493,0.1,0.5,0.257,5.7,11.4,0.502,0.498,2.3,3,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,14.1,0
Tony Parker,4.9,9.9,0.493,0.4,0.9,0.415,4.5,9,0.501,0.512,1.8,2.4,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9,1
Chandler Parsons,5.2,10.7,0.492,1.7,4.1,0.414,3.5,6.6,0.54,0.571,1.5,2.2,0.684,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7,1
Lamar Patterson,0.8,2.3,0.35,0.3,1.4,0.245,0.5,0.9,0.516,0.425,0.5,0.6,0.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4,0
Patrick Patterson,2.6,6.2,0.414,1.3,3.7,0.362,1.2,2.5,0.49,0.521,0.4,0.4,0.853,1,3.4,4.3,1.2,0.7,0.4,0.8,1.6,6.9,1
Chris Paul,7,15.1,0.462,1.6,4.4,0.371,5.3,10.6,0.501,0.517,4,4.4,0.896,0.5,3.7,4.2,10,2.1,0.2,2.6,2.5,19.5,1
