Rank,Player,TOP,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP,adj_FG,adj_FT,zFG,zFT,z3P,zPTS,zREB,zAST,zSTL,zBLK,zTOV,zAVG
283,Meyers Leonard,0,2,5.1,0.386,1,0.5,0.5,0.875,3.2,1,0.2,0.4,0.5,5.4,-0.4,0.471210498,0.785160576,-0.797815477,0.318949318,-0.222167685,-1.361047697,-1.002976804,-0.911963684,-2.172175418,-0.557936979,1.340332406,-0.596311336
284,Aron Baynes,0,1.9,3.7,0.513,0,1.1,1.3,0.84,4.4,0.4,0.2,0.5,0.7,4.9,0.1,0.476142063,0.784368911,0.263767622,0.242874792,-1.303883003,-1.437458217,-0.554140368,-1.171289851,-2.172175418,-0.369052064,1.12211924,-0.59769303
285,Ian Clark,0,2.7,5.6,0.487,0.8,0.6,0.8,0.759,1.6,1.2,0.5,0.1,0.7,6.8,0,0.475234984,0.781291173,0.068507182,-0.052878513,-0.438510748,-1.14709824,-1.601425384,-0.825521629,-1.398523899,-1.124591724,1.12211924,-0.599769302
286,Tony Parker,0,4.2,9,0.466,0.4,1.3,1.9,0.726,1.8,4.5,0.5,0,1.4,10.1,-0.4,0.474260183,0.776878859,-0.141331486,-0.476876981,-0.871196876,-0.642788807,-1.526619312,0.600772285,-1.398523899,-1.313476638,0.358373161,-0.601296506
287,Shabazz Muhammad,0,3.7,7.7,0.482,0.6,1.9,2.4,0.774,2.8,0.4,0.3,0.1,0.7,9.9,-0.9,0.475252062,0.782654347,0.072183441,0.078114851,-0.654853812,-0.673353015,-1.152588949,-1.171289851,-1.914291578,-1.124591724,1.12211924,-0.602061266
288,Quincy Acy,0,1.8,4.5,0.412,1,1.2,1.6,0.75,3,0.5,0.4,0.4,0.6,5.8,-0.1,0.471934311,0.780592529,-0.642005299,-0.120014225,-0.222167685,-1.29991928,-1.077782876,-1.128068823,-1.656407739,-0.557936979,1.231225823,-0.608119676
289,Brandon Bass,0,2.1,3.6,0.575,0,1.5,1.7,0.875,2.5,0.4,0.3,0.2,0.6,5.6,0.2,0.478325758,0.786769428,0.73383617,0.473550973,-1.303883003,-1.330483488,-1.264798058,-1.171289851,-1.914291578,-0.935706809,1.231225823,-0.609093313
290,Juan Hernangomez,0,1.6,3.6,0.451,0.7,0.9,1.2,0.75,3,0.5,0.5,0.2,0.5,4.9,0.1,0.473916288,0.780937907,-0.215359264,-0.086825337,-0.54668228,-1.437458217,-1.077782876,-1.128068823,-1.398523899,-0.935706809,1.340332406,-0.6095639
291,Toney Douglas,0,1.8,4.9,0.368,0.3,1,1.2,0.828,2.5,2.3,0.8,0.2,0.9,4.9,0.1,0.470288397,0.783760313,-0.996309649,0.184391919,-0.979368408,-1.437458217,-1.264798058,-0.350090324,-0.624872381,-0.935706809,0.903906075,-0.611145095
292,Jarrett Jack,0,1,1.5,0.667,0,1,1,1,0,2.5,1,0,1.5,3,-0.1,0.477467515,0.788209607,0.549088151,0.611944014,-1.303883003,-1.727818193,-2.199873965,-0.263648269,-0.109104701,-1.313476638,0.249266578,-0.611945114
293,Michael Carter-Williams,0,2.5,6.8,0.366,0.3,1.3,1.7,0.753,3.4,2.5,0.8,0.5,1.5,6.6,-0.1,0.468628357,0.781203168,-1.35365482,-0.061335212,-0.979368408,-1.177662448,-0.928170731,-0.263648269,-0.624872381,-0.369052064,0.249266578,-0.612055306
294,Derrick Jones,0,2.1,3.8,0.562,0.1,0.9,1.3,0.707,2.5,0.4,0.4,0.4,0.4,5.3,0.1,0.477483578,0.778739987,0.552546077,-0.298033061,-1.195711472,-1.376329801,-1.264798058,-1.171289851,-1.656407739,-0.557936979,1.449438989,-0.613169099
295,Brandon Rush,0,1.5,4,0.374,0.9,0.3,0.4,0.722,2.1,1,0.5,0.5,0.6,4.2,0,0.471371595,0.781652599,-0.763137364,-0.018147489,-0.330339217,-1.544432945,-1.414410203,-0.911963684,-1.398523899,-0.369052064,1.231225823,-0.613197894
296,Chinanu Onuaku,0,1,1.4,0.714,0,0.8,0.8,1,2,0.6,0.6,0.2,0.8,2.8,0,0.477896921,0.787000439,0.641523549,0.495749807,-1.303883003,-1.758382402,-1.451813239,-1.084847795,-1.14064006,-0.935706809,1.013012657,-0.613887477
297,Tyler Ulis,0,3,7.2,0.421,0.3,0.9,1.2,0.775,1.6,3.7,0.8,0.1,1.3,7.3,-0.6,0.471299888,0.780937907,-0.778573104,-0.086825337,-0.979368408,-1.07068772,-1.601425384,0.255004063,-0.624872381,-1.124591724,0.467479743,-0.615984472
298,Boban Marjanovic,0,2.1,3.8,0.545,0,1.3,1.7,0.81,3.7,0.3,0.2,0.3,0.3,5.5,0.2,0.477483578,0.781203168,0.552546077,-0.061335212,-1.303883003,-1.345765593,-0.815961622,-1.214510878,-2.172175418,-0.746821894,1.558545572,-0.616595775
299,Troy Williams,0,2.4,5.6,0.437,0.6,0.7,1.1,0.656,2.3,0.8,0.9,0.3,1.1,6.2,-0.1,0.472635158,0.777487481,-0.491139104,-0.418391829,-0.654853812,-1.238790864,-1.33960413,-0.99840574,-0.366988541,-0.746821894,0.685692909,-0.618811445
