Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
Johnathan Motley,1,PF,11,3.6,6.8,0.533,0.1,1.4,2.5,0.536,4.5,0.6,0.3,0.2,0.8,8.7,-0.1
Abdel Nader,1,SF,48,1,3.1,0.336,0.5,0.5,0.8,0.59,1.5,0.5,0.3,0.2,0.7,3,-0.5
Frank Ntilikina,1,PG,78,2.3,6.4,0.364,0.6,0.6,0.9,0.721,2.3,3.2,0.8,0.2,1.7,5.9,-0.8
Royce O'Neale,1,SF,69,1.7,4.1,0.423,0.6,0.9,1.1,0.803,3.4,1.4,0.5,0.2,0.8,5,0.4
Semi Ojeleye,1,PF,73,0.9,2.6,0.346,0.5,0.3,0.6,0.61,2.2,0.3,0.3,0.1,0.3,2.7,-0.4
Cedi Osman,1,SF,61,1.5,3,0.484,0.5,0.4,0.8,0.565,2,0.7,0.4,0,0.5,3.9,-0.2
Marcus Paige,1,PG,5,0.8,2.8,0.286,0.4,0.4,0.4,1,0.8,0.6,0,0,0,2.4,0
Justin Patton,1,C,1,1,2,0.5,0,0,0,0,0,0,1,0,0,2,0
Brandon Paul,1,SG,64,0.9,2,0.433,0.2,0.3,0.7,0.512,1.1,0.6,0.4,0.1,0.5,2.3,-0.1
London Perrantes,1,PG,14,0.1,0.9,0.154,0,0.2,0.4,0.6,0.3,0.4,0.1,0.1,0.1,0.5,-0.1
Alec Peters,1,PF,20,1.4,3.7,0.378,0.9,0.4,0.5,0.8,1.9,0.6,0.1,0.1,0.2,4.1,-0.1
Jacob Pullen,1,PG,3,0.3,0.7,0.5,0,0,0,0,0,0,0,0,0.3,0.7,0
Rodney Purvis,1,SG,16,2.2,6.7,0.327,0.8,0.8,0.9,0.867,1.7,1.1,0.2,0.2,0.6,6,-0.4
Zhou Qi,1,C,18,0.3,1.8,0.188,0.1,0.4,0.7,0.667,1.2,0.1,0.1,0.8,0.6,1.2,-0.2
Ivan Rabb,1,PF,36,2.4,4.2,0.566,0,0.8,1,0.806,4.4,0.9,0.3,0.4,1,5.6,0.1
Xavier Rathan-Mayes,1,SG,5,2.4,8.4,0.286,0.2,0.8,1.8,0.444,1,3.6,1.2,0.6,2.2,5.8,-0.3
Davon Reed,1,SG,21,1,3.6,0.289,0.5,0.4,0.6,0.667,1.9,0.6,0.5,0.1,0.5,3,-0.3
Devin Robinson,1,SF,1,1,3,0.333,0,0,0,0,5,0,1,0,0,2,0
Kobi Simmons,1,PG,32,2.5,5.9,0.423,0.3,0.8,0.8,1,1.6,2.1,0.6,0.2,1.4,6.1,-0.6
Dennis Smith,1,PG,69,5.9,14.8,0.395,1.5,1.9,2.8,0.694,3.8,5.2,1,0.3,2.8,15.2,-0.1
Edmond Sumner,1,PG,1,1,1,1,0,0,0,0,1,0,0,0,0,2,0
Caleb Swanigan,1,PF,27,0.9,2.2,0.4,0,0.4,0.7,0.667,2,0.5,0.2,0.1,0.7,2.3,-0.2
Milos Teodosic,1,PG,45,3.4,8,0.419,2,0.9,1,0.848,2.8,4.6,0.5,0.1,2.2,9.5,0.2
Sindarius Thornwell,1,SG,73,1.4,3.2,0.429,0.3,0.8,1.2,0.67,1.9,0.9,0.7,0.3,0.7,3.9,0.1
Tyrone Wallace,1,PG,30,3.7,8.2,0.445,0.3,2,2.6,0.782,3.5,2.4,0.9,0.4,1.5,9.7,0
Derrick Walton,1,PG,16,0.5,1.6,0.32,0.4,0.4,0.4,1,1,1,0.4,0.2,0.1,1.8,0.1
Jameel Warney,1,PF,3,2.3,4,0.583,0,1,1.7,0.6,3,0,0,0,0.3,5.7,-0.1
James Webb,1,SF,10,0.6,2.4,0.25,0.4,0,0,0,2.4,0.4,0.1,0,0.4,1.6,-0.1
Andrew White,1,SF,15,1.7,4.9,0.342,1.2,0.1,0.3,0.25,2.3,0.4,0.2,0.1,0.5,4.6,-0.3
Derrick White,1,PG,17,0.9,1.9,0.485,0.5,0.8,1.2,0.7,1.5,0.5,0.2,0.2,0.4,3.2,0.1
Jacob Wiley,1,PF,5,0.2,0.8,0.25,0.2,0.2,0.4,0.5,2.2,0.4,0.2,0,0,0.8,0
C.J. Williams,1,SG,38,2.3,5.2,0.442,0.6,0.3,0.4,0.813,1.5,1.1,0.8,0.3,0.5,5.5,0.1
Matt Williams,1,SG,3,0.7,2,0.333,0.3,0,0,0,0.3,0,0,0,0.3,1.7,0
D.J. Wilson,1,PF,22,0.4,0.7,0.563,0.1,0,0.1,0.5,0.5,0.1,0.1,0,0.2,1,0
Jamil Wilson,1,SF,15,2.5,5.4,0.469,1.8,0.1,0.3,0.5,2.1,0.7,0.3,0.5,0.5,7,0.1
Guerschon Yabusele,1,PF,33,0.8,1.8,0.426,0.4,0.5,0.7,0.682,1.6,0.5,0.1,0.2,0.4,2.4,0.1
Ante Zizic,1,C,32,1.5,2.1,0.731,0,0.7,0.9,0.724,1.9,0.2,0.1,0.4,0.3,3.7,0.1
Alex Abrines,0,SG,75,1.5,3.9,0.395,1.1,0.5,0.6,0.848,1.5,0.4,0.5,0.1,0.3,4.7,-0.1
Quincy Acy,0,PF,70,1.9,5.2,0.356,1.5,0.7,0.9,0.817,3.7,0.8,0.5,0.4,0.9,5.9,-0.1
Arron Afflalo,0,SG,53,1.2,3.1,0.401,0.5,0.4,0.5,0.846,1.2,0.6,0.1,0.2,0.4,3.4,-0.7
Cole Aldrich,0,C,21,0.2,0.7,0.333,0,0.1,0.3,0.333,0.7,0.1,0.1,0,0,0.6,-0.1
Tony Allen,0,SF,22,2,4.1,0.484,0.2,0.5,1,0.524,2.1,0.4,0.5,0.1,0.9,4.7,-0.2
Justin Anderson,0,SF,38,2.3,5.3,0.431,0.9,0.7,1,0.737,2.4,0.7,0.4,0.2,0.4,6.2,0
Carmelo Anthony,0,PF,78,6.1,15,0.404,2.2,1.9,2.5,0.767,5.8,1.3,0.6,0.6,1.3,16.2,-1.1
Darrell Arthur,0,PF,19,1.2,2.5,0.468,0.4,0.1,0.2,0.667,0.8,0.5,0.4,0.2,0.8,2.8,-0.1
Omer Asik,0,C,18,0.5,1.2,0.409,0,0.2,0.7,0.308,2.6,0.2,0.1,0.2,0.5,1.2,-0.3
D.J. Augustin,0,PG,75,3.3,7.2,0.452,1.5,2.2,2.5,0.868,2.1,3.8,0.7,0,1.6,10.2,0.5
Luke Babbitt,0,SF,50,1.8,4.3,0.423,1.2,0.3,0.4,0.773,1.9,0.6,0.2,0.1,0.4,5.2,-0.2
Ron Baker,0,SG,29,0.7,2,0.339,0.4,0.7,0.9,0.769,1,1.6,0.9,0.2,0.6,2.4,0.1
Wade Baldwin,0,PG,7,2,3,0.667,0.6,0.9,1.4,0.6,1.1,0.7,0.3,0.1,0.6,5.4,0
J.J. Barea,0,PG,69,4.4,10,0.439,1.7,1.2,1.5,0.784,2.9,6.3,0.5,0,2.1,11.6,0.8
Harrison Barnes,0,PF,77,7,15.7,0.445,1.5,3.4,4.1,0.827,6.1,2,0.6,0.2,1.5,18.9,-0.1
Jerryd Bayless,0,SG,39,2.8,6.7,0.416,1.4,0.9,1.1,0.795,2.1,1.4,0.6,0.2,1.2,7.9,-0.2
Aron Baynes,0,C,81,2.6,5.5,0.471,0,0.7,1,0.756,5.4,1.1,0.3,0.6,1,6,0.1
Malik Beasley,0,SG,62,1.2,2.9,0.41,0.5,0.4,0.5,0.667,1.1,0.5,0.2,0.1,0.4,3.2,-0.5
Michael Beasley,0,PF,74,5.5,10.9,0.507,0.5,1.7,2.1,0.78,5.6,1.7,0.5,0.6,1.9,13.2,0.2
Marco Belinelli,0,SG,80,4.2,9.6,0.441,1.9,1.9,2,0.908,1.9,1.9,0.8,0.2,1.2,12.1,0.3
DeAndre' Bembry,0,SF,26,2,4.9,0.414,0.4,0.7,1.3,0.576,2.8,1.9,0.8,0.5,1.8,5.2,-0.3
Dragan Bender,0,PF,82,2.3,5.9,0.386,1.4,0.5,0.6,0.765,4.4,1.6,0.3,0.6,1.4,6.5,-0.4
Davis Bertans,0,PF,77,2.1,4.8,0.44,1.2,0.5,0.6,0.816,2,1,0.3,0.4,0.5,5.9,0.8
Patrick Beverley,0,SG,11,4.4,10.8,0.403,2.2,1.3,1.5,0.824,4.1,2.9,1.7,0.5,2.3,12.2,0.2
Bismack Biyombo,0,C,82,2.2,4.3,0.52,0,1.2,1.9,0.65,5.7,0.8,0.3,1.2,1,5.7,0.2
Nemanja Bjelica,0,PF,67,2.6,5.5,0.461,1.1,0.5,0.7,0.8,4.1,1.3,0.7,0.2,0.8,6.8,0.9
Tarik Black,0,C,51,1.5,2.5,0.591,0,0.6,1.2,0.46,3.2,0.3,0.4,0.6,0.7,3.5,0.1
Vander Blue,0,SG,5,0.2,1,0.2,0,0.2,0.4,0.5,0.2,0.6,0.2,0,0.6,0.6,-0.1
Bojan Bogdanovic,0,SF,80,5.1,10.7,0.474,1.9,2.2,2.6,0.868,3.4,1.5,0.7,0.1,1.3,14.3,0.8
Andrew Bogut,0,C,23,0.7,1.1,0.68,0,0.1,0.1,1,3.4,0.7,0.2,0.6,0.8,1.6,0.1
Joel Bolomboy,0,PF,6,0.5,1,0.5,0,0.5,1,0.5,1.7,0,0.3,0,0.3,1.5,-0.1
Trevor Booker,0,PF,68,2.6,5,0.516,0.1,1,1.4,0.71,4.7,1.2,0.4,0.3,0.9,6.3,0.4
Avery Bradley,0,SG,46,5.6,13.6,0.414,1.6,1.4,1.8,0.768,2.5,2,1.1,0.2,2.2,14.3,-0.8
Corey Brewer,0,SF-SG,72,2,4.4,0.449,0.4,0.9,1.3,0.722,2.1,0.9,1.1,0.2,0.7,5.3,0.4
Malcolm Brogdon,0,PG,48,5.1,10.5,0.485,1.3,1.6,1.8,0.882,3.3,3.2,0.9,0.3,1.4,13,0.2
Aaron Brooks,0,PG,32,0.9,2.2,0.406,0.3,0.3,0.3,0.727,0.5,0.6,0.2,0,0.3,2.3,-0.1
MarShon Brooks,0,SG,7,7.3,14.6,0.5,2.7,2.9,3.3,0.87,3,3.6,1.6,0.4,2.3,20.1,0.3
Anthony Brown,0,SF,1,1,1,1,1,0,0,0,0,1,0,0,0,3,0
Bobby Brown,0,PG,20,1,2.9,0.328,0.6,0.1,0.1,0.5,0.4,0.6,0.2,0,0.5,2.5,-0.2
Lorenzo Brown,0,PG,14,1,2.4,0.412,0.1,0.1,0.1,1,1.1,0.9,0.4,0,0.2,2.3,0
Markel Brown,0,SG,4,0.5,1.8,0.286,0.3,0,0,0,1.3,0.5,0,0,0.5,1.3,-0.1
Nicolas Brussino,0,SF,4,0,0.5,0,0,0,0,0,0.8,0,0,0,0,0,0
Trey Burke,0,PG,36,5.4,10.7,0.503,1.1,1,1.6,0.649,2,4.7,0.7,0.1,1.2,12.8,0.6
Alec Burks,0,SG,64,2.7,6.5,0.411,0.7,1.7,1.9,0.863,3,1,0.6,0.1,0.9,7.7,-0.2
Dwight Buycks,0,PG,29,2.8,6.8,0.414,0.5,1.2,1.4,0.878,1.4,2,0.7,0.1,1.3,7.4,-0.2
Bruno Caboclo,0,SF,12,0.8,2.6,0.29,0.3,0.4,0.5,0.833,1.8,0.3,0.3,0.3,0.3,2.2,-0.1
Jose Calderon,0,PG,57,1.6,3.2,0.503,0.8,0.4,0.5,0.8,1.5,2.1,0.5,0,0.7,4.5,0
Isaiah Canaan,0,PG-SG,20,2.6,6.9,0.38,1.1,2.3,2.6,0.902,2.3,3.8,0.8,0.1,1.5,8.6,0
Vince Carter,0,SF,58,2,4.9,0.403,1,0.5,0.6,0.757,2.6,1.2,0.7,0.4,0.6,5.4,0.2
Michael Carter-Williams,0,PG,52,1.5,4.4,0.332,0.3,1.4,1.7,0.82,2.7,2.2,0.8,0.4,1,4.6,0.3
Omri Casspi,0,SF,53,2.3,3.9,0.58,0.2,0.9,1.3,0.725,3.8,1,0.3,0.4,0.7,5.7,0.1
Mario Chalmers,0,PG,66,2.5,6.7,0.379,0.8,1.8,2.1,0.855,2.4,3,1.2,0.2,1.8,7.7,-0.3
Tyson Chandler,0,C,46,2.6,4.1,0.647,0,1.3,2,0.624,9.1,1.2,0.3,0.6,1.3,6.5,0.5
Wilson Chandler,0,SF,74,3.8,8.5,0.445,1.2,1.2,1.5,0.772,5.4,2.1,0.6,0.5,1.2,10,0.6
Marquese Chriss,0,PF,72,2.8,6.6,0.423,0.8,1.3,2.2,0.608,5.5,1.2,0.7,1,1.5,7.7,0
Ian Clark,0,SG,74,3,6.7,0.448,0.8,0.6,0.8,0.763,1.7,1.5,0.4,0.1,0.8,7.4,-0.7
Jordan Clarkson,0,SG,81,5.3,11.8,0.451,1.4,1.9,2.3,0.8,2.7,2.7,0.7,0.1,1.6,13.9,0.1
Nick Collison,0,PF,15,0.9,1.3,0.684,0,0.3,0.9,0.385,1.3,0.3,0,0,0.5,2.1,-0.1
Mike Conley,0,PG,12,5.3,14,0.381,2,4.4,5.5,0.803,2.3,4.1,1,0.3,1.5,17.1,0
Pat Connaughton,0,SG,82,2,4.8,0.423,0.9,0.5,0.5,0.841,2,1.1,0.3,0.3,0.5,5.4,0.3
Quinn Cook,0,PG,33,3.7,7.6,0.484,1.4,0.7,0.8,0.88,2.5,2.7,0.4,0,1,9.5,0
Jack Cooley,0,PF,7,1.9,3.9,0.481,0,2,2.7,0.737,4.3,0.9,0.1,0,0.4,5.7,0
Allen Crabbe,0,SG,75,4.5,11,0.407,2.7,1.5,1.8,0.852,4.3,1.6,0.6,0.5,1,13.2,0.7
Jamal Crawford,0,SG,80,3.9,9.3,0.415,1.3,1.3,1.4,0.903,1.2,2.3,0.5,0.1,1.2,10.3,-0.8
Jordan Crawford,0,SG,5,2.4,5.4,0.444,1.6,0.2,0.2,1,0.8,2.6,0.2,0.2,1,6.6,0
Jae Crowder,0,SF,80,3.4,8.4,0.404,1.4,1.5,1.9,0.818,3.4,1.2,0.8,0.3,0.9,9.7,0.1
Dante Cunningham,0,SF,73,2.2,5,0.451,0.8,0.4,0.7,0.596,4.1,0.7,0.5,0.4,0.5,5.7,0.2
Troy Daniels,0,SG,79,2.9,7.3,0.403,2.3,0.7,0.8,0.875,1.6,0.6,0.3,0.1,0.7,8.9,-0.4
Deyonta Davis,0,C,62,2.6,4.3,0.608,0,0.6,0.9,0.667,4,0.6,0.2,0.6,0.5,5.8,0.3
Ed Davis,0,C,78,2.2,3.7,0.582,0,0.9,1.4,0.667,7.4,0.5,0.4,0.7,0.8,5.3,0.7
Sam Dekker,0,PF,73,1.8,3.5,0.494,0.1,0.5,0.8,0.661,2.4,0.5,0.3,0.1,0.5,4.2,-0.2
Malcolm Delaney,0,PG,54,2,5.3,0.382,0.9,1.4,1.7,0.804,1.9,3,0.6,0.1,1.2,6.3,-0.4
Matthew Dellavedova,0,PG,38,1.4,4,0.362,0.8,0.7,0.7,0.926,1.7,3.8,0.4,0,1.3,4.3,-0.7
Luol Deng,0,SF,1,1,2,0.5,0,0,0,0,0,1,1,0,1,2,0
Cheick Diallo,0,PF,52,2,3.4,0.58,0,1,1.3,0.758,4.1,0.4,0.2,0.4,0.5,4.9,-0.2
Gorgui Dieng,0,C,79,2.4,4.9,0.479,0.2,1,1.3,0.775,4.6,0.9,0.6,0.5,0.7,5.9,0.5
Larry Drew,0,PG,10,0.7,2.4,0.292,0.3,0,0,0,0.3,1,0,0,0.3,1.7,-0.2
Jared Dudley,0,PF,48,1,2.5,0.393,0.6,0.6,0.7,0.771,2,1.6,0.5,0.2,0.6,3.2,0
Kris Dunn,0,PG,52,5.5,12.8,0.429,0.8,1.6,2.2,0.737,4.3,6,2,0.5,2.9,13.4,0.7
Jarell Eddie,0,SF,3,0,0.7,0,0,0,0,0,0.3,0,0.3,0,0,0,0
Henry Ellenson,0,PF,38,1.4,3.8,0.363,0.5,0.7,0.8,0.862,2.1,0.5,0.1,0,0.5,4,-0.4
James Ennis,0,SF,72,2.5,5.3,0.474,0.7,1.3,1.6,0.836,3.1,1,0.7,0.3,0.8,7.1,0.4
Tyler Ennis,0,PG,54,1.7,4.1,0.42,0.3,0.4,0.5,0.759,1.8,1.9,0.6,0.2,0.7,4.1,-0.1
Jeremy Evans,0,SF,1,1,1,1,0,0,0,0,1,0,0,0,1,2,0
Dante Exum,0,PG,14,3,6.2,0.483,0.4,1.8,2.2,0.806,1.9,3.1,0.6,0.2,1.4,8.1,0
Kenneth Faried,0,PF,32,2.4,4.6,0.514,0,1.1,1.6,0.706,4.8,0.6,0.4,0.4,0.7,5.9,0
Kay Felder,0,PG,16,1.3,4.4,0.3,0.3,0.7,0.8,0.917,1.1,1.3,0.2,0.1,1,3.6,-0.4
Cristiano Felicio,0,C,55,2.3,3.9,0.591,0,1,1.5,0.667,4.2,1,0.3,0.2,1,5.6,-0.1
Raymond Felton,0,PG,82,2.7,6.7,0.406,1,0.4,0.5,0.818,1.9,2.5,0.6,0.2,0.9,6.9,-0.3
Yogi Ferrell,0,SG,82,3.8,8.9,0.426,1.6,1,1.3,0.796,3,2.5,0.8,0.1,1,10.2,0.6
Dorian Finney-Smith,0,PF,21,2.2,5.8,0.38,1,0.5,0.7,0.733,3.6,1.2,0.5,0.2,1,5.9,-0.1
Bryn Forbes,0,SG,80,2.6,6.2,0.421,1.1,0.6,0.9,0.667,1.4,1,0.4,0,0.5,6.9,-0.4
Evan Fournier,0,SF,57,6.5,14.1,0.459,2.2,2.6,3,0.867,3.2,2.9,0.8,0.3,1.7,17.8,0.7
Tim Frazier,0,PG,59,1.2,2.9,0.395,0.3,0.4,0.5,0.767,1.9,3.3,0.8,0.1,1,3,0
Channing Frye,0,C,53,2,4,0.491,0.7,0.3,0.4,0.895,2.5,0.7,0.3,0.2,0.4,5,0.1
Danilo Gallinari,0,SF,21,4.9,12.2,0.398,1.7,3.9,4.1,0.931,4.8,2,0.6,0.5,1.2,15.3,0.1
Langston Galloway,0,SG,58,2.2,5.9,0.371,1.3,0.6,0.7,0.805,1.6,1,0.6,0.1,0.3,6.2,0.1
Rudy Gay,0,PF,57,4.4,9.4,0.471,0.6,2,2.5,0.772,5.1,1.3,0.8,0.7,1.4,11.5,0.7
Marcus Georges-Hunt,0,SG,42,0.5,1.1,0.438,0.1,0.3,0.5,0.619,0.4,0.2,0.1,0,0.1,1.4,-0.1
Jonathan Gibson,0,PG,4,3.5,5.8,0.609,1.5,0,0,0,0.8,1,0,0,0.8,8.5,0
Manu Ginobili,0,SG,65,3.1,7.1,0.434,1,1.7,2,0.84,2.2,2.5,0.7,0.2,1.6,8.9,0.3
Eric Gordon,0,SG,69,6,14.1,0.428,3.2,2.8,3.5,0.809,2.5,2.2,0.6,0.4,1.9,18,0.5
Treveon Graham,0,SG,63,1.5,3.5,0.434,0.6,0.7,0.9,0.695,1.9,0.9,0.5,0,0.4,4.3,0.3
Jerami Grant,0,PF,81,3,5.6,0.535,0.4,2,3,0.675,3.9,0.7,0.4,1,0.7,8.4,0.6
Jerian Grant,0,PG,74,2.8,6.8,0.416,0.8,1.9,2.5,0.745,2.3,4.6,0.9,0.1,1.2,8.4,0
Gerald Green,0,SG,41,4.1,10.1,0.407,2.7,1.2,1.5,0.85,3.2,0.6,0.6,0.4,0.8,12.1,0
JaMychal Green,0,PF,55,4.1,8.9,0.457,0.8,1.5,2,0.721,8.4,1.4,0.6,0.5,1.4,10.3,0.2
Jeff Green,0,PF,78,3.8,7.9,0.477,0.7,2.6,3,0.868,3.2,1.3,0.5,0.4,1,10.8,0.1
Tim Hardaway,0,SG,57,6.3,15,0.421,2.3,2.6,3.1,0.816,3.9,2.7,1.1,0.2,1.6,17.5,0.9
Devin Harris,0,PG,71,2.6,6.4,0.412,1.1,2,2.4,0.835,1.8,2.1,0.7,0.2,1.1,8.4,0
Aaron Harrison,0,SG,9,2.1,7.7,0.275,1,1.4,1.9,0.765,2.7,1.2,1,0.2,0.3,6.7,-0.1
Andrew Harrison,0,PG,56,3.2,7.7,0.422,0.8,2.2,2.8,0.78,2.3,3.2,0.7,0.5,1.4,9.5,-0.2
Udonis Haslem,0,C,14,0.2,1.1,0.2,0.1,0.1,0.1,0.5,0.7,0.4,0,0.1,0.1,0.6,-0.1
Gordon Hayward,0,SF,1,1,2,0.5,0,0,0,0,1,0,0,0,0,2,0
Juan Hernangomez,0,PF,25,1.2,3,0.387,0.6,0.4,0.5,0.833,2.2,0.5,0.2,0.1,0.4,3.3,-0.1
Willy Hernangomez,0,C,48,1.9,3.4,0.555,0.1,1.2,1.9,0.656,3.8,0.7,0.4,0.3,0.7,5.1,0.4
Mario Hezonja,0,SF,75,3.6,8.2,0.442,1.2,1.1,1.4,0.819,3.7,1.4,1.1,0.4,1.1,9.6,0.5
Nene Hilario,0,C,52,2.6,4.6,0.569,0,1.3,2.1,0.636,3.4,0.9,0.5,0.3,0.7,6.5,0.2
George Hill,0,PG,67,3.5,7.7,0.46,1.3,1.6,2.1,0.786,2.7,2.8,0.9,0.4,1.3,10,0.6
Solomon Hill,0,SF,12,0.9,3.4,0.268,0.3,0.3,0.5,0.5,3,1.8,0.6,0.1,0.8,2.4,-0.1
Darrun Hilliard,0,SG,14,0.4,1.4,0.263,0,0.4,0.5,0.857,0.5,0.8,0.1,0,0.3,1.1,-0.1
Justin Holiday,0,SG,72,4,10.9,0.371,2.2,1.9,2.3,0.823,4,2.1,1.1,0.4,1.3,12.2,0.4
Rondae Hollis-Jefferson,0,SF,68,5,10.6,0.472,0.2,3.7,4.6,0.788,6.8,2.5,1,0.7,1.8,13.9,0.8
Richaun Holmes,0,C,48,2.8,5,0.56,0.1,0.8,1.2,0.661,4.4,1.3,0.4,0.6,0.5,6.5,0.7
Rodney Hood,0,SG,60,5.4,12.5,0.429,2.1,1.9,2.2,0.86,2.8,1.6,0.8,0.2,1.2,14.7,0
Scotty Hopson,0,SG,1,0,1,0,0,1,2,0.5,0,1,0,0,1,1,0
Danuel House,0,SG,23,2.4,5.6,0.434,0.7,1.1,1.3,0.806,3.3,1.1,0.3,0.3,0.5,6.6,-0.1
Josh Huestis,0,PF,69,0.9,2.6,0.33,0.5,0.1,0.3,0.3,2.3,0.3,0.2,0.6,0.4,2.3,-0.5
R.J. Hunter,0,SG,5,1.4,4,0.35,0.6,0.4,0.4,1,1,0.6,0.6,0,0.4,3.8,0
Brandon Ingram,0,SF,59,6.1,12.9,0.47,0.7,3.3,4.8,0.681,5.3,3.9,0.8,0.7,2.5,16.1,0.4
Jarrett Jack,0,PG,62,3,7.1,0.427,0.4,1,1.2,0.84,3.1,5.6,0.6,0.1,1.9,7.5,-0.6
Demetrius Jackson,0,PG,15,0.5,1.2,0.389,0.1,0.1,0.1,0.5,0.8,0.6,0.3,0.1,0.7,1.1,-0.1
Reggie Jackson,0,PG,45,5.5,12.8,0.426,1.2,2.5,3,0.836,2.8,5.3,0.6,0.1,2.2,14.6,0.2
Al Jefferson,0,C,36,3.1,5.8,0.534,0,0.8,1,0.833,4,0.8,0.4,0.6,0.6,7,0.2
Richard Jefferson,0,SF,20,0.6,1.4,0.444,0.1,0.2,0.4,0.571,0.9,0.8,0.1,0.1,0.3,1.5,-0.2
Brandon Jennings,0,PG,14,1.9,5.1,0.375,0.6,0.7,0.7,1,2.2,3.1,0.4,0.3,1.3,5.2,-0.1
Jonas Jerebko,0,PF,74,2.1,4.6,0.466,0.9,0.6,0.8,0.807,3.3,0.6,0.3,0.2,0.4,5.8,0.4
Brice Johnson,0,PF,18,1.1,2.3,0.476,0,0.2,0.3,0.6,1.7,0.1,0.5,0.3,0.3,2.4,0
Joe Johnson,0,SF,55,2.7,6.5,0.406,0.7,0.7,0.8,0.889,3.1,1.5,0.3,0.1,0.9,6.8,-0.5
Stanley Johnson,0,SF,69,3,8.1,0.375,1,1.6,2.1,0.772,3.7,1.6,1.4,0.2,1.1,8.7,0.2
Wesley Johnson,0,SF,74,2,5,0.408,0.8,0.6,0.8,0.741,2.9,0.8,1,0.8,0.7,5.4,0.9
Damian Jones,0,C,15,0.7,1.5,0.5,0,0.2,0.3,0.6,0.9,0.1,0.1,0.2,0.3,1.7,-0.1
Derrick Jones,0,SF,20,1.1,2.7,0.396,0.2,0.8,1.2,0.667,1.9,0.5,0.2,0.7,0.4,3.1,0
Tyus Jones,0,PG,82,1.8,4,0.457,0.5,0.9,1,0.877,1.6,2.8,1.2,0.1,0.7,5.1,0.9
Cory Joseph,0,PG,82,3.1,7.4,0.424,0.8,0.9,1.1,0.745,3.2,3.2,1,0.2,1.1,7.9,0.5
Frank Kaminsky,0,PF,79,3.9,9.1,0.429,1.3,2,2.5,0.799,3.6,1.6,0.5,0.2,0.8,11.1,0.5
Michael Kidd-Gilchrist,0,SF,74,3.8,7.6,0.504,0,1.6,2.3,0.684,4.1,1,0.7,0.4,0.7,9.2,0.1
Sean Kilpatrick,0,SG,52,2.1,5.7,0.374,0.9,1.2,1.4,0.889,1.7,0.9,0.3,0.1,0.7,6.3,-0.7
Kosta Koufos,0,C,71,3.1,5.5,0.571,0,0.5,1,0.446,6.6,1.2,0.7,0.5,0.7,6.7,0.9
Mindaugas Kuzminskas,0,SF,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Skal Labissiere,0,PF,60,3.4,7.6,0.448,0.3,1.6,2,0.805,4.8,1.2,0.4,0.8,1.2,8.7,-0.2
Shane Larkin,0,PG,54,1.6,4.1,0.384,0.6,0.6,0.7,0.865,1.7,1.8,0.5,0,0.6,4.3,0
Joffrey Lauvergne,0,C,55,1.8,3.5,0.516,0,0.5,0.9,0.638,3.1,0.7,0.2,0.1,0.6,4.1,0.1
Zach LaVine,0,SG,24,5.7,14.8,0.383,1.8,3.6,4.5,0.813,3.9,3,1,0.2,1.8,16.7,-0.1
Jake Layman,0,SF,35,0.4,1.3,0.298,0.1,0.1,0.1,0.667,0.5,0.3,0.2,0.1,0.1,1,-0.1
Kawhi Leonard,0,SF,9,5.8,12.3,0.468,1.2,3.4,4.2,0.816,4.7,2.3,2,1,1.8,16.2,0.4
Meyers Leonard,0,C,33,1.4,2.4,0.59,0.3,0.3,0.3,0.818,2.1,0.5,0.2,0,0.3,3.4,0.2
Jon Leuer,0,PF,8,1.9,4.5,0.417,0,1.6,1.9,0.867,4,0.6,0.1,0.4,0.9,5.4,-0.1
Caris LeVert,0,SF,71,4.5,10.4,0.435,1.2,1.9,2.6,0.711,3.7,4.2,1.2,0.3,2.2,12.1,0.7
DeAndre Liggins,0,SG,58,0.7,1.8,0.377,0.3,0,0.1,0.4,1.3,0.8,0.6,0.2,0.3,1.7,0
Jeremy Lin,0,PG,1,5,12,0.417,1,7,7,1,0,4,0,0,3,18,-0.1
Shaun Livingston,0,PG,71,2.4,4.8,0.501,0,0.7,0.9,0.82,1.8,2,0.5,0.3,0.8,5.5,-0.4
Kevon Looney,0,C,66,1.7,2.9,0.58,0,0.6,1.2,0.545,3.3,0.6,0.5,0.8,0.5,4,0.7
Robin Lopez,0,C,64,5.3,10.1,0.53,0.1,1.1,1.4,0.756,4.5,1.9,0.2,0.8,1.7,11.8,0
Timothe Luwawu-Cabarrot,0,SF,52,1.9,5.1,0.375,1,0.9,1.1,0.793,1.4,1,0.2,0.1,0.7,5.8,-0.5
Trey Lyles,0,PF,73,3.7,7.5,0.491,1.1,1.4,2,0.706,4.8,1.2,0.4,0.5,0.8,9.9,0.4
Shelvin Mack,0,PG,69,2.6,6,0.43,0.7,1,1.4,0.711,2.4,3.9,0.8,0.1,1.3,6.9,-0.1
Ian Mahinmi,0,C,77,1.8,3.2,0.556,0,1.2,1.7,0.703,4.1,0.7,0.5,0.5,1.3,4.8,0.4
Thon Maker,0,C,74,1.8,4.3,0.411,0.4,0.9,1.3,0.699,3,0.6,0.5,0.7,0.6,4.8,-0.2
